Container, 0, 0, 0, 2.7e-05, 2.7e-05, 0
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 1.3, 1.3_to_3.2, 81
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 2.0, 2.0_to_0.1, 89
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 2.0, 2.0_to_0.2, 92
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 2.0, 2.0_to_0.3, 96
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 2.1, 2.1_to_1.0, 103
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 2.1, 2.1_to_1.2, 106
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 2.1, 2.1_to_1.3, 110
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 2.3, 2.3_to_3.0, 117
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 2.3, 2.3_to_3.1, 121
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 2.3, 2.3_to_3.2, 125
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 3.0, 3.0_to_0.1, 132
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 3.0, 3.0_to_0.2, 136
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 3.0, 3.0_to_0.3, 139
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 3.1, 3.1_to_1.0, 146
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 3.1, 3.1_to_1.2, 150
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 3.1, 3.1_to_1.3, 153
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 3.2, 3.2_to_2.0, 160
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 3.2, 3.2_to_2.1, 164
Link, 0, 0-HOST6-LINK10, 0.000000, 0.000000, 0.000000, topology, 3.2, 3.2_to_2.3, 167
Link, 0, 0-LINK10-LINK10, 0.000000, 0.000000, 0.000000, topology, 2.0_to_0.1, 0.1_to_1.0, 4
